ID,config,goal,goal_type,moveIDs
10073,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'green', 'green', 'white', 'green', 'white', 'blue', 'white', 'white', 'red', 'white', 'white', 'white', 'red', 'red', 'white', 'blue', 'white', 'green', 'red', 'green', 'green', 'blue', 'green', 'blue', 'red', 'green', 'green', 'white', 'blue', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'red']",uncover green all,uncover,"[(80, 78), 'pass', (92, 55), (104, 67), (54, 92), (72, 37), (57, 74), 'pass', (37, 41), 'pass', (55, 56), 'pass', (73, 72)]"
10073,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'green', 'green', 'white', 'green', 'white', 'blue', 'white', 'white', 'red', 'white', 'white', 'white', 'red', 'red', 'white', 'blue', 'white', 'green', 'red', 'green', 'green', 'blue', 'green', 'blue', 'red', 'green', 'green', 'white', 'blue', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'red']",clear nocolor A2,clear,"[(57, 36), 'pass', (75, 55), 'pass', (93, 74), (94, 37), (59, 56), (77, 38), (95, 20)]"
10073,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'green', 'green', 'white', 'green', 'white', 'blue', 'white', 'white', 'red', 'white', 'white', 'white', 'red', 'red', 'white', 'blue', 'white', 'green', 'red', 'green', 'green', 'blue', 'green', 'blue', 'red', 'green', 'green', 'white', 'blue', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'red']",clear nocolor C,clear,"[(66, 99), 'pass', (84, 81), (85, 82), (102, 63), (103, 64), (104, 45), 'pass', (87, 46), (105, 83), (89, 65), (106, 47), (107, 28)]"
10073,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'green', 'green', 'white', 'green', 'white', 'blue', 'white', 'white', 'red', 'white', 'white', 'white', 'red', 'red', 'white', 'blue', 'white', 'green', 'red', 'green', 'green', 'blue', 'green', 'blue', 'red', 'green', 'green', 'white', 'blue', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'red']",move red B,move,"[(104, 79), (85, 78), (54, 61), (57, 60), (66, 104), (84, 62), (102, 43), (72, 74), (90, 42), (89, 88), (107, 44)]"
10073,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'green', 'green', 'white', 'green', 'white', 'blue', 'white', 'white', 'red', 'white', 'white', 'white', 'red', 'red', 'white', 'blue', 'white', 'green', 'red', 'green', 'green', 'blue', 'green', 'blue', 'red', 'green', 'green', 'white', 'blue', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'red']",cover red all,cover,"[(92, 36), 'pass', (59, 39), (80, 78), (98, 60), (104, 48), (85, 30), (89, 69), (103, 12), 'pass', (106, 89)]"
10073,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'green', 'green', 'white', 'green', 'white', 'blue', 'white', 'white', 'red', 'white', 'white', 'white', 'red', 'red', 'white', 'blue', 'white', 'green', 'red', 'green', 'green', 'blue', 'green', 'blue', 'red', 'green', 'green', 'white', 'blue', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'red']",fill nocolor C1,fill,"[(87, 86), (105, 67), (89, 68), (106, 48), (107, 50), 'pass', (100, 49), (101, 30), (80, 31), (96, 32), (97, 12), (98, 13), (59, 14)]"
10073,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'green', 'green', 'white', 'green', 'white', 'blue', 'white', 'white', 'red', 'white', 'white', 'white', 'red', 'red', 'white', 'blue', 'white', 'green', 'red', 'green', 'green', 'blue', 'green', 'blue', 'red', 'green', 'green', 'white', 'blue', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'red']",move blue B2,move,"[(59, 82), (66, 64), (87, 83), (105, 65), (106, 46), (77, 47), (85, 86), (103, 99), (57, 74), (75, 55), (93, 81), (95, 63)]"
10073,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'green', 'green', 'white', 'green', 'white', 'blue', 'white', 'white', 'red', 'white', 'white', 'white', 'red', 'red', 'white', 'blue', 'white', 'green', 'red', 'green', 'green', 'blue', 'green', 'blue', 'red', 'green', 'green', 'white', 'blue', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'red']",cover green all,cover,"[(87, 71), 'pass', (100, 83), 'pass', (96, 79), 'pass', (59, 76), (66, 86), (92, 55), 'pass', (77, 37)]"
10073,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'green', 'green', 'white', 'green', 'white', 'blue', 'white', 'white', 'red', 'white', 'white', 'white', 'red', 'red', 'white', 'blue', 'white', 'green', 'red', 'green', 'green', 'blue', 'green', 'blue', 'red', 'green', 'green', 'white', 'blue', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'red']",uncover red all,uncover,"[(89, 88), 'pass', (54, 74), 'pass', (72, 55), 'pass', (66, 69), 'pass', (84, 70)]"
10073,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'white', 'white', 'red', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'green', 'green', 'white', 'green', 'white', 'blue', 'white', 'white', 'red', 'white', 'white', 'white', 'red', 'red', 'white', 'blue', 'white', 'green', 'red', 'green', 'green', 'blue', 'green', 'blue', 'red', 'green', 'green', 'white', 'blue', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'red']",fill nocolor A2,fill,"[(73, 76), 'pass', (80, 41), 'pass', (98, 23), (97, 58), (96, 40), (92, 39), (54, 22), (72, 21), (91, 4), (90, 3), (100, 5)]"
